paper_id,cluster_id
W2140025163,700
W2212135289,68
W2001156057,701
W2104641222,9
W2053515873,15
W2129112648,7
W2118676041,702
W1579798859,17
W1596547119,703
W2966218717,22
W2144982963,704
W1993962870,13
W2759211898,46
W1988790447,1
W2588000623,9
W3158023256,705
W2008985174,198
W2107729695,8
W2039179345,0
W2067425370,4
W3189440539,15
W2170772194,19
W2096292849,6
W2990296674,3
W2186120071,18
W4303980550,16
W1986913310,706
W1997037941,707
W2167024399,708
W2552465432,3
W2011482625,17
W2059659390,709
W2981854972,10
W2063838657,178
W4301253858,47
W2772726293,11
W2144903371,179
W1494160116,4
W2412926690,710
W2598646247,16
W1965665622,17
W2150721933,0
W2029463628,711
W2153562927,712
W2549624130,713
W4287020683,7
W4366597469,2
W2370924594,0
W2610831013,7
W2120101509,0
W2074106797,45
W3119205652,3
W295690833,17
W2006805041,17
W2054988762,27
W1967042038,714
W2127297674,101
W2909157769,180
W1486481742,715
W2095422038,716
W1549353711,717
W2138484437,77
W2090649853,15
W2156415214,718
W2885030880,12
W3021743785,1
W3156684287,16
W2533739470,5
W2152926062,181
W3100368766,719
W2102890180,720
W2139412680,721
W2167306162,1
W2803620531,722
W2115629999,1
W2084338988,26
W2109870918,723
W2159617688,724
W3132347552,725
W1511448892,26
W2145053972,726
W2587989515,727
W2014204110,100
W1972200153,728
W2037620269,729
W2053614949,23
W2133493855,13
W2777280533,31
W2788667846,42
W2078950386,184
W1908950999,730
W2565639579,3
W2963428623,9
W2152810080,61
W2440214111,4
W2161676175,14
W2255388164,5
W1540492331,100
W2171036274,1
W2335342262,182
W2027654789,3
W2159416255,183
W2002190525,0
W1567046609,731
W2991772480,2
W2912664727,732
W1993957541,733
W2079280466,41
W2130500927,734
W2071563913,735
W1553038132,736
W2076471773,55
W323911834,737
W2000239500,738
W2104517640,24
W2145713909,739
W2063615695,185
W2093919938,184
W1606554938,17
W2040376141,740
W1977948323,741
W1988931981,18
W3035571898,3
W2103317919,57
W2106749358,73
W3177082483,1
W2057184806,742
W2783929168,2
W1521333607,18
W2161251616,11
W1511267087,743
W3039828778,744
W4212812504,69
W2159043079,6
W2144113061,23
W2116410915,745
W2963790884,1
W3041277256,746
W2103628399,2
W3174792937,10
W2978572058,747
W2012187514,23
W3035449864,3
W2295130897,748
W2129620481,0
W2806379360,4
W2125023624,749
W2102081731,750
W1730404227,751
W2103879485,50
W2140124448,752
W2000735747,34
W2038659300,8
W2076756823,753
W2022182585,754
W2081267137,755
W1978387271,0
W1495168473,10
W2167897892,145
W3035143213,71
W2556078315,23
W2165529641,57
W1511832825,193
W2766761849,1
W4319302984,6
W2988452521,3
W2071075503,101
W123101483,756
W2120676604,73
W2148746214,14
W3130540371,757
W1578335245,758
W2119245106,67
W1990570224,759
W2343236817,66
W3163939464,9
W3043363778,760
W2056126252,761
W2110689325,199
W1566499617,16
W3043547428,10
W2018372581,102
W2000399486,30
W2414378847,762
W2108817692,763
W2122661933,764
W1778513012,6
W2124421215,15
W2107573178,15
W2089337412,5
W2134834581,3
W2161259233,765
W1485346879,23
W1535606938,26
W2164097701,766
W1507678838,767
W2105831729,24
W2939083804,768
W2068113013,103
W2017609493,15
W2020342163,769
W2160405192,770
W2157918617,24
W2001292730,771
W2132791018,1
W1775913388,8
W3805906,1
W2963334472,227
W2149098813,772
W1988975763,773
W4247267706,185
W2777170053,7
W2166183437,20
W1782169904,774
W2133192850,3
W2103481737,3
W1874027545,3
W2158419323,775
W2100934737,776
W3203538104,10
W2963323070,46
W177444027,777
W2155195832,41
W2772317693,186
W2024318675,778
W1589781773,44
W1787500456,8
W2116520617,779
W2491755848,780
W3134208756,781
W2774707525,782
W2140026725,783
W2016016478,784
W2149354278,785
W3013553122,93
W1971616954,5
W2030023298,786
W2382582593,787
W4256486341,788
W1891640176,24
W3003369869,19
W2113491487,16
W2462947182,789
W1488440450,1
W1946110011,13
W2145089737,790
W2126385342,187
W2750339080,791
W1996763811,792
W2131044585,793
W2132987358,188
W2068431618,104
W2020167157,794
W1883898636,795
W1505837402,0
W2069217348,796
W1979849262,4
W2058352122,797
W3173365306,3
W1967900147,2
W2947815220,39
W2902695612,798
W2016114400,799
W4253927864,253
W2047839530,103
W2161094289,800
W2607041014,7
W1511842436,216
W2963849369,3
W1978779053,134
W2117973059,801
W104703790,18
W2129770824,802
W2002011878,11
W1965949675,20
W2737729489,226
W2138178896,43
W2619769228,189
W2753798143,71
W2105455005,52
W2737766105,12
W2082498363,26
W1567903304,803
W1497184635,804
W2073872078,805
W2234017516,806
W2112980698,807
W2096118443,11
W2795374598,13
W2053740008,190
W2138737752,45
W2140327372,808
W2117778781,59
W3084173793,5
W2112557018,809
W2077251622,810
W2030186544,62
W2105053210,811
W204424277,4
W2966535964,5
W4225576932,7
W2012066443,0
W2039031286,812
W4298826872,813
W1973953888,814
W1992673035,0
W2046888157,815
W4238652859,816
W2552511422,19
W2097423358,817
W2042034007,125
W3015751022,92
W1646998587,50
W2110769762,818
W2008886893,14
W139562302,0
W177101540,14
W2106217851,2
W3088158297,13
W2957905354,819
W1753858198,191
W2585459224,1
W2478899349,192
W3155140745,23
W2885775891,12
W2148539800,820
W184116120,821
W3021564798,6
W2098472991,19
W1906292202,193
W2419500842,6
W3000309212,822
W2482792214,108
W2105245738,260
W4210439023,6
W2075955477,175
W2056884277,823
W2922073769,824
W2164327070,181
W2036190841,825
W1607519102,826
W2145676339,7
W2117853853,7
W2158510188,827
W2157887077,828
W2049113041,829
W2764207251,31
W1591360835,15
W1502624642,0
W2129004891,37
W2891234927,194
W2066207739,830
W2754437305,831
W2069418622,0
W2620871200,11
W2098802943,832
W1574787923,15
W1987512289,1
W2132712787,833
W2485821267,15
W1977141583,0
W2128716459,48
W2963446712,7
W2109618870,13
W3007447684,17
W57243869,834
W2110850401,195
W1667869507,835
W2113069851,836
W2122887675,63
W2051124169,837
W2093414802,838
W1510445203,35
W2134415008,105
W2806865914,10
W2766038777,839
W4232751114,840
W2165702358,41
W4234875403,841
W2020073413,12
W2015326607,218
W2334166442,842
W2492131272,843
W2054127354,245
W2166820052,844
W2563685048,13
W2102159398,845
W2971998890,106
W2151892901,8
W2145310492,1
W2112560726,64
W1966132871,846
W2125057759,143
W2068702980,847
W2121818873,34
W2165410586,17
W2949709688,20
W4306292873,848
W2810965170,849
W2159128662,0
W2963992805,2
W4238317525,15
W2155722340,25
W2733520819,12
W2069503920,850
W2105185344,24
W2793740540,851
W2062493711,852
W2944846084,13
W1508976176,853
W1975400766,854
W2157808045,146
W2151360539,855
W2097436041,18
W2050887598,856
W2159844592,857
W2575864632,858
W2009798335,859
W2132997613,14
W2087563320,860
W2976013652,0
W2963066927,861
W2110934250,5
W2158435382,40
W2161860896,13
W2166132830,5
W1851467418,862
W2120976781,863
W2063754791,864
W2112063877,865
W2152584537,866
W2895973886,11
W2085692415,117
W2093605161,10
W2157316473,867
W2053381312,124
W2120244029,76
W2171321863,868
W4237249670,196
W2301876830,63
W1600979142,869
W2625746539,151
W3112713116,870
W2479959601,871
W2112751341,19
W2024998628,872
W3096932862,12
W2133475491,25
W2166130385,873
W2121066581,214
W1517165204,874
W2747715470,58
W2012991826,875
W2140427427,107
W2885722640,876
W2027231794,31
W2147930274,25
W2069034916,9
W1974063789,63
W2145640629,1
W2153704625,0
W2160840472,877
W2160367301,878
W2916104401,22
W1505620647,879
W61720063,8
W2059265105,152
W2039367092,880
W3174752334,13
W2116613408,0
W2074535625,23
W3209901185,881
W3175294391,7
W3148595793,882
W2053186076,4
W4283318673,2
W2896632748,16
W2906928481,883
W1990188874,884
W2010561990,62
W2170382128,1
W2032427721,885
W1590667944,232
W2521344485,255
W2033419168,4
W2323909273,4
W45952787,14
W2052526906,3
W2981038142,9
W2121940249,197
W1701709396,886
W2116428968,3
W2793993424,198
W2110034858,0
W2086504823,5
W2109531142,4
W2077544258,887
W184049366,199
W2167155330,17
W2045362872,0
W2350778671,11
W2023961799,26
W2021589053,888
W1995867110,889
W2000535285,200
W2139850885,4
W2118944554,174
W1930824406,7
W2964631455,201
W2036110521,2
W2151976397,890
W2047547657,15
W3160856016,891
W2141092795,892
W1496508106,893
W2094661073,139
W2801852940,894
W2794842046,37
W2063658831,11
W2132210216,895
W2593722617,5
W2476012767,896
W2067008732,37
W3150402146,897
W2594560857,11
W2016559894,898
W2086914324,899
W2152319665,127
W2038198320,900
W2587587411,901
W1539807061,902
W2008535862,903
W580990616,904
W2122646361,1
W2141331848,905
W2121233130,108
W3140133525,906
W2119531925,25
W4385245566,3
W2187230075,1
W2107948588,6
W3013027210,907
W2115454650,908
